"inventory_id","product_id","warehouse_location","quantity_available","quantity_reserved","reorder_point","reorder_quantity","last_restocked_at","created_at","updated_at"
"0002ad1a-7ae7-4766-b76b-9b13719df583","f578008a-2d46-4054-b21a-f4b941af1024","Warehouse-Central","288","8","50","51","2026-01-30 19:48:39","2025-07-15 12:36:04","2025-07-15 12:36:04"
"0004526d-3c76-4974-a82c-ac4162e36654","147163ae-604b-47f2-8a40-a1607ae6a8bd","Warehouse-West","427","26","23","59","2026-01-30 19:52:33","2025-07-25 20:41:56","2025-07-25 20:41:56"
"0007324e-6c4d-47ca-be80-9b584f38f2e4","f4372639-96db-4575-a14c-aa4ff5d37e05","Warehouse-West","800","12","12","68","2026-01-30 19:51:04","2025-04-03 16:35:08","2025-04-03 16:35:08"
"0018afc5-0679-4c82-8008-03229994296e","eaf15c16-0a93-412e-adc5-a597f982319c","Warehouse-Central","642","40","27","177","2026-01-30 19:49:09","2025-08-10 16:03:54","2025-08-10 16:03:54"
"001b3907-be49-4749-bc2d-a2850ab7193e","7962c5dc-f8b5-46e3-8d07-19f753f6b3fa","Warehouse-East","514","29","29","107","2026-01-30 19:53:03","2026-01-30 15:07:22","2026-01-30 15:07:22"
"001b4899-d1b8-4d61-a9d1-c2e6b2af4d41","17a4bdf3-714f-4e39-bd64-b48ec7839440","Warehouse-East","206","10","25","163","2026-01-30 19:48:37","2025-07-17 03:31:42","2025-07-17 03:31:42"
"001df74b-8fff-4a79-9fb1-2fbe9423dbab","ee482fd4-df36-4fba-b8e2-0b40bbb7cfc4","Warehouse-Central","333","45","42","134","2026-01-30 19:53:32","2025-06-08 17:03:30","2025-06-08 17:03:30"
"0027b6f3-11e4-4628-8955-ee842c66ef01","32c53e4c-b8e5-4de5-a818-35e873a88f77","Warehouse-East","828","28","41","68","2026-01-30 19:51:00","2025-12-05 05:28:13","2025-12-05 05:28:13"
"002d070f-ddff-472d-89ef-ba95caa0ebfe","025198d7-c3de-4a23-81fb-a41ed5307ea9","Warehouse-West","74","18","12","64","2026-01-30 19:49:37","2025-09-03 06:54:13","2025-09-03 06:54:13"
"00364f8a-e399-4f53-ac8e-ed50d1934bfe","e12bd07f-b61c-47ea-83fd-89689bae3a1e","Warehouse-Central","747","33","27","91","2026-01-30 19:48:00","2025-11-23 05:26:43","2025-11-23 05:26:43"
"0041a814-55c1-4220-a7ba-d9c77f8e92de","ec674df8-0129-45f7-ada1-f855ce11f01e","Warehouse-Central","744","20","30","196","2026-01-30 19:51:52","2025-06-15 14:46:14","2025-06-15 14:46:14"
"00474f9b-35d0-400b-b4c0-6b2fcb3497a1","9e4e92a2-61b9-4ed8-9156-98b5342d81e0","Warehouse-Central","668","37","14","178","2026-01-30 19:50:15","2025-08-26 03:37:43","2025-08-26 03:37:43"
"0060e284-d6ac-4d4f-99fd-55e9a31b5784","f39124f9-c55f-4751-a8c5-a87bb5876211","Warehouse-West","508","3","40","88","2026-01-30 19:48:53","2025-08-11 13:54:00","2025-08-11 13:54:00"
"006781d1-8719-4f15-aa2e-92b6eb56eac0","31e3eb3e-e66e-4227-8aee-67952e0422f6","Warehouse-East","444","25","11","67","2026-01-30 19:49:59","2025-10-10 22:49:34","2025-10-10 22:49:34"
"007e0b43-1c26-4461-9539-614d0e579784","388a3f3f-be5e-4edb-a3c8-e0ea2287abf1","Warehouse-East","672","27","36","116","2026-01-30 19:47:58","2025-08-15 16:13:27","2025-08-15 16:13:27"
"0091826c-7070-435d-bc45-05b666647278","4642bcfe-1b82-4d15-912b-ca05694e8fc7","Warehouse-East","937","3","16","68","2026-01-30 19:48:19","2025-08-03 14:24:41","2025-08-03 14:24:41"
"0098da7d-ba37-4678-8e3f-7cc77c9d855a","ee742a62-0193-4d39-8230-adbfa2ba9026","Warehouse-Central","795","29","30","178","2026-01-30 19:50:39","2025-03-09 10:15:35","2025-03-09 10:15:35"
"00a3fa11-b8d7-4858-b147-505967b6c18a","0ebb2c81-7311-45e6-8399-c29c28458f52","Warehouse-East","255","12","42","116","2026-01-30 19:47:49","2025-09-27 07:36:42","2025-09-27 07:36:42"
"00ae89fe-593c-4fd7-8fe5-2c215391c89e","6e04304a-d9b8-4c3f-8eb7-6dd503446c1f","Warehouse-Central","44","9","14","149","2026-01-30 19:50:32","2025-07-31 23:35:37","2025-07-31 23:35:37"
"00b8935e-3f45-49e6-b54d-5c41183b7bb4","8beaea3e-aa76-459b-80a4-cf5a29dde6ea","Warehouse-West","937","19","40","173","2026-01-30 19:53:14","2025-10-26 07:21:55","2025-10-26 07:21:55"
"00c24d9a-fa60-463f-b0b1-e4afb450635d","6bd35364-8249-49de-9bd3-b9b00fbe2898","Warehouse-West","292","7","22","114","2026-01-30 19:53:38","2025-10-29 19:53:40","2025-10-29 19:53:40"
"00c9e7b8-88b7-41cf-8f85-ec730ce5dc69","c106317b-a01a-4bb9-b576-b957370d3483","Warehouse-West","704","0","35","186","2026-01-30 19:48:49","2025-07-04 08:33:17","2025-07-04 08:33:17"
"00ded361-95b4-47c4-bc75-d12deb94a601","aab6459c-37dc-465e-99b6-7d6052a4be3f","Warehouse-Central","902","23","20","169","2026-01-30 19:48:22","2025-06-13 19:58:59","2025-06-13 19:58:59"
"00e39ef8-1c54-4ca5-83ed-3b08db136d82","91d90395-ba31-48e7-8b7e-24e2eb8c7dad","Warehouse-East","752","19","34","117","2026-01-30 19:48:20","2025-05-06 17:23:00","2025-05-06 17:23:00"
"00eb950e-9625-422b-bb08-dee2d984f1a4","9e3c9c01-4e5c-4416-b2b4-1d0ed14bd9a3","Warehouse-West","659","9","34","177","2026-01-30 19:49:08","2025-02-12 15:44:59","2025-02-12 15:44:59"
"00fa6193-469e-4f35-9b1e-333f8d7c9b22","f35d0fef-32dc-4661-ad8b-4ae70bb206f7","Warehouse-West","202","29","24","197","2026-01-30 19:51:01","2025-04-21 01:22:44","2025-04-21 01:22:44"
"00fe751d-832e-4d62-a24d-ed42ee5acb63","225495c1-c054-4095-a207-015fb6713d18","Warehouse-West","186","38","22","179","2026-01-30 19:48:37","2025-08-28 19:06:11","2025-08-28 19:06:11"
"010f8e9c-a2a1-4a76-aad0-53cefce76377","f753f725-b598-48b8-9239-04aa7d942a93","Warehouse-East","444","35","37","148","2026-01-30 19:52:20","2025-12-26 05:31:15","2025-12-26 05:31:15"
"011f628d-9cdb-440e-bbf8-713852a9175c","b6b8a8cd-b6d8-4f3b-87c6-288de3434d64","Warehouse-Central","956","21","27","96","2026-01-30 19:50:41","2025-11-22 22:15:50","2025-11-22 22:15:50"
"01389bce-84a6-4a0c-86d6-6ee979d7bd79","c58893c7-430f-4d62-940c-01a9fa7e358d","Warehouse-Central","898","7","11","194","2026-01-30 19:52:39","2025-04-15 06:43:14","2025-04-15 06:43:14"
"0139c8a1-97b8-48b2-a093-85b2b209dc90","e39e631f-d465-4cc1-84ff-8afd00a34a13","Warehouse-East","183","27","21","148","2026-01-30 19:48:20","2025-11-24 13:11:34","2025-11-24 13:11:34"
"0142349c-463b-4135-aa38-1c2818ac338c","7bfc88cb-6251-4ca9-922a-698fbf88553e","Warehouse-West","815","18","41","78","2026-01-30 19:48:10","2025-08-18 23:36:24","2025-08-18 23:36:24"
"014b055b-4f15-4eca-a22f-2f725b2e992b","76830101-77ca-4a30-ba10-c5adc19c39fd","Warehouse-East","978","44","40","79","2026-01-30 19:48:27","2026-01-28 08:40:11","2026-01-28 08:40:11"
"014d0705-ebc9-478c-871c-0992e00774f9","ccf61766-0887-4d0f-ab70-f482fa5d9190","Warehouse-West","505","20","34","115","2026-01-30 19:48:18","2025-04-29 15:29:01","2025-04-29 15:29:01"
"0152f0b4-ccce-4cc6-a513-0e25e281f396","d664e2a4-bda8-4338-b4fd-d395f55657a3","Warehouse-West","782","45","27","99","2026-01-30 19:52:54","2025-08-22 04:18:52","2025-08-22 04:18:52"
"0160c468-bac2-4bbd-abf6-28531e54f57d","d4357950-4d88-48f4-9865-4ef70c031b26","Warehouse-West","660","50","49","73","2026-01-30 19:48:50","2025-10-05 12:37:16","2025-10-05 12:37:16"
"0171b931-33a2-4626-8407-c4b683f41704","b96d6415-7df5-4100-929e-c571467b2a9f","Warehouse-West","971","14","20","170","2026-01-30 19:50:35","2025-09-13 12:29:11","2025-09-13 12:29:11"
"0171eff6-9c2f-48d7-9b89-1c83eb05899c","4029813e-f17c-4338-ae72-ad5036554c0a","Warehouse-West","651","29","14","138","2026-01-30 19:51:53","2025-08-08 06:52:10","2025-08-08 06:52:10"
"01730897-ac82-49c0-88cb-f7b404588f49","ae0f6589-9b8f-413f-ad9b-503442ac989d","Warehouse-East","668","14","45","70","2026-01-30 19:51:24","2025-09-04 07:06:16","2025-09-04 07:06:16"
"0176e276-d732-4dcb-94d3-a5eb4c4c5434","ab5e01aa-99a9-4766-b2fe-0e952654e1f5","Warehouse-East","93","46","38","53","2026-01-30 19:48:16","2025-09-09 22:52:39","2025-09-09 22:52:39"
"0185b79d-e3c1-4ad2-ad3f-7a8aaac09642","1f94b540-1250-45cf-a2ac-6e9bdaf3edfd","Warehouse-West","78","0","13","126","2026-01-30 19:50:15","2025-12-20 09:31:30","2025-12-20 09:31:30"
"019a9146-25b8-4068-8478-c18f1678766b","f7a5aa10-5228-49e4-b294-7f49763fbc34","Warehouse-Central","850","14","33","122","2026-01-30 19:47:51","2026-01-03 11:34:34","2026-01-03 11:34:34"
"019c28b4-69a0-48ce-9e12-f2e3bef394aa","935231f7-4fd1-4634-b70b-0681da75fd7d","Warehouse-East","591","4","21","149","2026-01-30 19:52:59","2025-06-19 14:12:50","2025-06-19 14:12:50"
"01b83fc8-ab0b-47bd-839b-73016ae7b104","457c15d1-ffb1-428a-9547-2b1e20e24118","Warehouse-East","956","49","29","190","2026-01-30 19:50:48","2025-12-05 23:07:06","2025-12-05 23:07:06"
"01c1b646-229b-4940-a547-3bced00fc6a5","3bcb250e-08a5-4aea-a513-dd2bfb9bb591","Warehouse-West","140","46","29","64","2026-01-30 19:52:22","2025-10-01 15:06:37","2025-10-01 15:06:37"
"01c39a4a-def9-4690-a038-fce18d64fae4","d8950abd-3def-4f56-b2df-c6c41a975747","Warehouse-West","806","50","46","178","2026-01-30 19:53:39","2025-10-17 00:27:48","2025-10-17 00:27:48"
"01c92061-3181-416d-bf57-9531a26abc89","f6698450-3b1b-4794-94e2-7853bc43cac8","Warehouse-Central","480","19","13","157","2026-01-30 19:49:09","2025-06-12 09:34:28","2025-06-12 09:34:28"
"01ca16d8-b4a2-4c5a-8f40-7c97fcebaf4b","8747e121-05da-4f98-b83d-8e7a177c8f80","Warehouse-East","568","35","11","137","2026-01-30 19:53:03","2025-09-17 20:42:30","2025-09-17 20:42:30"
"01d126dd-91a0-4b4f-979c-b15cbed162ea","a1b7c4f2-ecd1-4582-9989-2b1ca1f2128c","Warehouse-East","545","9","23","121","2026-01-30 19:52:17","2025-04-28 12:10:40","2025-04-28 12:10:40"
"01d98d76-d129-452f-95b6-dd337ff31d45","fe1b316c-8092-431d-9990-d47ecd09663d","Warehouse-East","187","28","41","152","2026-01-30 19:48:09","2025-08-09 05:13:29","2025-08-09 05:13:29"
"01dee289-9c75-4758-98bc-27fe55ad82b4","f7436e5c-fe6c-4494-ae28-0d91bdf1660f","Warehouse-Central","715","26","11","72","2026-01-30 19:51:27","2025-11-10 14:02:11","2025-11-10 14:02:11"
"01e45dbe-fbf2-4358-8143-820ffc4962ba","bad5feaf-82ae-4678-86fc-5dc3f4029359","Warehouse-East","568","3","13","144","2026-01-30 19:52:26","2025-08-24 15:04:39","2025-08-24 15:04:39"
"01ebd97d-b47c-414d-abee-4ccbbfec7817","02b0ffa9-60c7-464c-b0a8-264c41e37655","Warehouse-Central","893","48","12","168","2026-01-30 19:52:36","2025-07-04 04:18:02","2025-07-04 04:18:02"
"02040063-a30f-47f3-a09c-38f215a3fc01","f641ad43-bf93-4fbe-8b1a-4b916f6fc5f9","Warehouse-East","240","12","25","134","2026-01-30 19:51:38","2025-11-15 07:43:19","2025-11-15 07:43:19"
"020551e0-7170-4bff-837e-60cd72df472c","a17a637d-cb6a-4c71-bfd6-606fe81abf1f","Warehouse-East","625","34","23","157","2026-01-30 19:53:13","2025-02-08 08:44:12","2025-02-08 08:44:12"
"0229c2a3-4919-4363-9d3e-448cd2dbd735","36d7022b-9067-48d3-a948-62b800cb302e","Warehouse-East","218","33","24","175","2026-01-30 19:49:45","2025-05-18 13:32:52","2025-05-18 13:32:52"
"0255e062-7291-4eaa-a30f-55b5ad8d0260","adc00874-3a9a-43d8-9bc6-490eb4586b04","Warehouse-West","295","18","46","50","2026-01-30 19:52:32","2025-03-21 20:28:10","2025-03-21 20:28:10"
"026fdec2-2749-4af3-83f7-af27a788eccb","5ea80256-3ace-41fe-99fd-2446e24f0961","Warehouse-West","747","38","40","150","2026-01-30 19:47:56","2025-10-29 06:24:02","2025-10-29 06:24:02"
"0279c2fa-7757-4bcb-9384-c51d134bc2cd","d0323386-fd76-4cef-adaf-67136c3332c1","Warehouse-West","75","44","24","189","2026-01-30 19:50:54","2025-10-20 15:33:54","2025-10-20 15:33:54"
"02904f63-099c-439e-8cfa-17fad94b25f5","7b04de90-7407-4b7b-9cce-bb5493c9f214","Warehouse-West","160","7","39","131","2026-01-30 19:49:49","2025-05-02 02:43:01","2025-05-02 02:43:01"
"0291fde7-e0aa-491b-b062-15db1bc364c1","3fd9fb1e-e632-4e92-9a96-40d5952cb325","Warehouse-Central","700","45","27","197","2026-01-30 19:48:16","2026-01-20 18:29:30","2026-01-20 18:29:30"
"029bb450-178a-486e-aed2-734d74203095","97d1c7d4-72b4-43ac-9af5-1a9cf561b121","Warehouse-West","659","7","19","135","2026-01-30 19:48:04","2025-11-30 12:25:58","2025-11-30 12:25:58"
"02a5c01b-a27e-4089-8092-f11d8456ff16","06d0b0bf-9eef-425a-bb7e-e666e0af7913","Warehouse-Central","899","8","19","113","2026-01-30 19:49:52","2025-02-19 04:37:30","2025-02-19 04:37:30"
"02e44fcf-f1fa-4da9-8512-d655024c78cc","61c5f6e3-9311-480a-8e20-7a25b1082be2","Warehouse-West","269","14","25","87","2026-01-30 19:51:34","2025-08-22 16:36:21","2025-08-22 16:36:21"
"02e4de26-8779-4468-8b24-7ab8653c14d6","349d200d-1879-46e3-af47-beaeb79a60f7","Warehouse-East","379","15","10","142","2026-01-30 19:48:41","2026-01-28 19:22:12","2026-01-28 19:22:12"
"03032329-49ed-48ca-9a66-f06b3dea6562","959ce674-b89f-4e05-b0de-8f22f7c23761","Warehouse-Central","986","11","19","82","2026-01-30 19:49:03","2025-11-25 18:54:03","2025-11-25 18:54:03"
"0306d223-fe65-47f9-a3ba-87d3439089c1","8dcd66c2-5b4e-40b6-9d11-df2676860d08","Warehouse-Central","435","19","22","143","2026-01-30 19:48:14","2026-01-17 14:04:23","2026-01-17 14:04:23"
"030f123d-21c8-4a14-b93a-31bf5e2eea87","6ace505b-a875-45fc-a60a-997796b737b5","Warehouse-West","493","12","20","141","2026-01-30 19:49:22","2025-07-07 12:25:57","2025-07-07 12:25:57"
"0310cd5c-873c-4215-ace3-f35a02eb130e","ddba4816-0b44-41b3-b761-2f36e219cfdd","Warehouse-East","272","39","24","83","2026-01-30 19:49:42","2025-02-09 15:26:39","2025-02-09 15:26:39"
